subgroup,group,att,se,n_obs,cutoff
unemployment,high,NA,NA,2583,6
unemployment,low,-0.043173960744129845,0.012212974252491782,2646,6
baseline_snap,high,-0.024596701667632635,0.0028367281382615838,2583,230.6312681832103
baseline_snap,low,-0.05061431989673575,0.01777826013692944,2646,230.6312681832103
poverty_rate,high,-0.030193707137181232,0.0066538203437087225,2583,16.51111111111111
poverty_rate,low,-0.054927891528478656,0.018690631147697704,2646,16.51111111111111
bachelor_share,high,-0.06489203072435754,0.009833572117842799,2583,18.28888888888889
bachelor_share,low,NA,NA,2646,18.28888888888889
svi,high,-0.05119131631591485,0.022839784166271374,2583,0.4972888888888889
svi,low,-0.0434105175590229,0.016942624544578903,2646,0.4972888888888889
urbanicity,urban,-0.06583455352112431,0.011220277831184986,1890,NA
urbanicity,rural,NA,NA,3339,NA
