moderator,spec,gamma,gamma_se,gamma_t,gamma_p,n_obs,r2_within
avg_unemp,A_naive,0.01687850106827736,0.007400388129154045,2.2807588971967583,0.02515730063161528,5229,0.07111724710643064
avg_unemp,B_cohortFE,-3.0488442712359393e-4,0.008185468100194318,-0.03724703625884953,0.9703785636498498,5229,0.15272935186200576
avg_unemp,C_within68,3.8837396260369835e-5,0.007527688346915755,0.005159272604089979,0.9958988454100401,4284,1.9334911871560223e-7
avg_poverty,A_naive,0.0292455941290005,0.006934297337718931,4.217528136545263,6.326485874988408e-5,5229,0.1391846454954433
avg_poverty,B_cohortFE,0.021339698083974942,0.008273093079549345,2.579409886820392,0.011681592623389893,5229,0.1978079187147419
avg_poverty,C_within68,0.023602902522059155,0.009062566601011414,2.6044390691070882,0.011324717935811841,4284,0.07141226487480079
avg_bachelor,A_naive,-0.0389105524497899,0.006686271963860339,-5.8194690045669,1.104587660072395e-7,5229,0.21302762880711756
avg_bachelor,B_cohortFE,-0.03334499177308874,0.010697187494887177,-3.117173723376009,0.002517880663986345,5229,0.22912218894345016
avg_bachelor,C_within68,-0.032541857297188795,0.008936376269506245,-3.641504824302436,5.289752260825849e-4,4284,0.13574587901715085
avg_svi,A_naive,0.026659431251032897,0.00691701888093366,3.854179337939642,2.2976068962669285e-4,5229,0.12221032844950375
avg_svi,B_cohortFE,0.020012253067540335,0.007970245850272919,2.5108702345555716,0.014007742519106886,5229,0.19506106285315883
avg_svi,C_within68,0.022560844425724955,0.008755294396792998,2.5768230516599,0.012179627318663597,4284,0.06524581840896793
is_urban,A_naive,-0.03453206890039854,0.015581362582932225,-2.216241918291848,0.029445273358143374,5229,0.07019724428883789
is_urban,B_cohortFE,-0.0031609446066499214,0.01829490896167294,-0.17277727991278702,0.8632522505818161,5229,0.1529072733320168
is_urban,C_within68,-0.004753838432755999,0.01980775979329849,-0.2399987925118293,0.8110639620355464,4284,5.213599964498661e-4
