event_time,estimate,se,ci_lower,ci_upper
-12,-0.060440410497184315,0.0042652970713373695,-0.06880039275700556,-0.05208042823736307
-11,-0.03700926802454743,0.0039275861576957985,-0.0447073368936312,-0.029311199155463666
-10,-0.00985537920982591,0.003650859283060707,-0.017011063404624896,-0.0026996950150269235
-9,-0.05395547782044438,0.003918425301207887,-0.06163559141081184,-0.04627536423007692
-8,-0.049241159916246044,0.003717024812353163,-0.056526528548458244,-0.041955791284033844
-7,-0.04566584362413091,0.0036245498434983566,-0.05276996131738769,-0.03856172593087413
-6,-0.04914620884934801,0.0037626399946041585,-0.056520983238772166,-0.04177143445992386
-5,-0.03794863760582719,0.0037832277393043015,-0.04536376397486362,-0.030533511236790756
-4,-0.029410542902937174,0.0028233145449653475,-0.03494423941106926,-0.02387684639480509
-3,-0.020044363771349747,0.002213195537430617,-0.024382227024713758,-0.015706500517985736
-2,-0.003973363361032414,0.0014021708830578882,-0.006721618291825875,-0.001225108430238953
0,-0.001229335434966935,0.0013346648930199485,-0.003845278625286034,0.0013866077553521638
1,-0.002346083592747088,0.0019433768388524048,-0.006155102196897801,0.0014629350114036253
2,-0.005249740608149125,0.0023337147481151117,-0.009823821514454743,-6.756597018435064e-4
3,-0.010685891909226574,0.0032451053100358094,-0.01704629831689676,-0.004325485501556387
4,-0.016376331922271045,0.00351717157152622,-0.023269988202462434,-0.009482675642079655
5,-0.024465702145168085,0.0039206618473576335,-0.03215019936598905,-0.016781204924347124
6,-0.023563418382484137,0.004560125455363978,-0.032501264274997534,-0.014625572489970741
7,-0.015149497363888756,0.004200738754303448,-0.02338294532232351,-0.006916049405453999
8,-0.017485644097943027,0.005079515601937984,-0.027441494677741478,-0.0075297935181445775
9,-0.012121836091052744,0.00514234889136166,-0.0222008399181216,-0.00204283226398389
10,-0.007287445228286011,0.004999306348465423,-0.017086085671278242,0.0025111952147062197
11,-0.0017562222467708264,0.005153962847912368,-0.011857989428679067,0.008345544935137415
12,-0.0026427265577711797,0.005321246330285527,-0.013072369365130813,0.007786916249588454
