outcome,lag,term,estimate,se,n_obs,ci_lower,ci_upper,p_value
total_visits_log1p,0,du_yoy_l0,0.02679693487714107,0.014438951840730976,1494,-0.0015034107306916428,0.05509728048497378,0.06347093154029937
total_visits_log1p,1,du_yoy_l1,0.031239663196519933,0.01278375294238503,1494,0.006183507429445276,0.05629581896359459,0.014537490096590102
total_visits_log1p,2,du_yoy_l2,0.006564230037594165,0.012362936189019033,1494,-0.01766712489288314,0.030795584968071468,0.5954461933123218
total_visits_log1p,3,du_yoy_l3,-0.014643039545001941,0.011645074568140908,1494,-0.03746738569855812,0.008181306608554236,0.2085925817861607
total_visits_log1p,4,du_yoy_l4,-0.020801535108468935,0.012208581217288154,1494,-0.044730354294353715,0.0031272840774158456,0.08840997125351095
total_visits_log1p,5,du_yoy_l5,-0.04416413773551817,0.013121906376268849,1494,-0.06988307423300512,-0.01844520123803123,7.635523366292645e-4
total_visits_log1p,6,du_yoy_l6,-0.022522930912855867,0.01477658775338246,1494,-0.05148504290948549,0.006439181083773754,0.1274510540972578
grocery_visits_log1p,0,du_yoy_l0,0.01602063307308409,0.02233378376028056,1494,-0.02775358309706581,0.059794849243233986,0.4731721586341939
grocery_visits_log1p,1,du_yoy_l1,0.014497028940079405,0.021557350712268247,1494,-0.02775537845596636,0.05674943633612517,0.5012739840958707
grocery_visits_log1p,2,du_yoy_l2,-0.008892749149070204,0.015371477609682696,1494,-0.03902084526404829,0.021235346965907884,0.562911257809155
grocery_visits_log1p,3,du_yoy_l3,-0.014758154561536122,0.020317910181980866,1494,-0.054581258518218614,0.025064949395146374,0.4676169801488889
grocery_visits_log1p,4,du_yoy_l4,-0.03238212332995633,0.022009416989595684,1494,-0.07552058062956388,0.010756333969651206,0.141214079593895
grocery_visits_log1p,5,du_yoy_l5,-0.05923287191876811,0.020412849691112667,1494,-0.09924205731334894,-0.01922368652418728,0.003710912064982592
grocery_visits_log1p,6,du_yoy_l6,-0.04238662564323479,0.0195668970385015,1494,-0.08073774383869772,-0.004035507447771848,0.030292732526765447
fast_food_visits_log1p,0,du_yoy_l0,0.013098677418726468,0.014000341649146606,1494,-0.01434199221360088,0.04053934705105382,0.3494807281227303
fast_food_visits_log1p,1,du_yoy_l1,0.022074399193436924,0.011592617138275014,1494,-6.471303975821019e-4,0.04479592878445595,0.05688708817339084
fast_food_visits_log1p,2,du_yoy_l2,0.010591620417047838,0.014272041124094687,1494,-0.017381580186177747,0.03856482102027342,0.45801237251257476
fast_food_visits_log1p,3,du_yoy_l3,-0.00471567829958574,0.011239898010969014,1494,-0.026745878401085006,0.017314521801913528,0.6748155804985981
fast_food_visits_log1p,4,du_yoy_l4,0.006255487617433441,0.013524170875366757,1494,-0.0202518872982854,0.03276286253315228,0.6436931903516202
fast_food_visits_log1p,5,du_yoy_l5,-0.02479384372085402,0.011014633822174933,1494,-0.04638252601231689,-0.003205161429391149,0.02438609522881497
fast_food_visits_log1p,6,du_yoy_l6,-0.01110515351891371,0.01375251042973367,1494,-0.0380600739611917,0.015849766923364282,0.41937841811369114
convenience_visits_log1p,0,du_yoy_l0,-0.030762963852676257,0.05808870267512779,1494,-0.14461682109592675,0.08309089339057422,0.5963990012648979
convenience_visits_log1p,1,du_yoy_l1,-0.015308294673780516,0.05106215198091109,1494,-0.11539011255636625,0.08477352320880521,0.7643317842389661
convenience_visits_log1p,2,du_yoy_l2,0.010910748985478716,0.033388145390650804,1494,-0.05453001598019686,0.07635151395115429,0.7438304171798336
convenience_visits_log1p,3,du_yoy_l3,-0.025187761333932177,0.048139996167220644,1494,-0.11954215382168464,0.06916663115382028,0.6008218510547283
convenience_visits_log1p,4,du_yoy_l4,0.035675782532830796,0.03929132562963916,1494,-0.04133521570126196,0.11268678076692355,0.3638881875569953
convenience_visits_log1p,5,du_yoy_l5,-0.06503219182755124,0.0421164050785022,1494,-0.14758034578141555,0.017515962126313067,0.1225626667927392
convenience_visits_log1p,6,du_yoy_l6,-0.011491435285843713,0.044077829004178365,1494,-0.09788398013403331,0.07490110956234587,0.7943178249989946
fast_food_share,0,du_yoy_l0,-0.0031255521939089832,0.003466600766828858,1494,-0.009920089696893545,0.0036689853090755785,0.3672594359005957
fast_food_share,1,du_yoy_l1,-0.0012117916727325253,0.0023900470311806117,1494,-0.005896283853846524,0.0034727005083814736,0.6121437133572339
fast_food_share,2,du_yoy_l2,0.002362648327962497,0.0016711990589870329,1494,-9.129018276520873e-4,0.005638198483577082,0.15743696078550623
fast_food_share,3,du_yoy_l3,0.0017139046265383724,0.0014429802403008274,1494,-0.0011143366444512494,0.004542145897527994,0.23493059498763014
fast_food_share,4,du_yoy_l4,0.0015797803258152168,0.0013051512532700111,1494,-9.78316130594005e-4,0.004137876782224438,0.22611802230885633
fast_food_share,5,du_yoy_l5,0.0010368891631675225,0.0017539654852867304,1494,-0.002400883187994469,0.004474661514329514,0.5544075194736195
fast_food_share,6,du_yoy_l6,0.0038828655243702418,0.00268785675816905,1494,-0.0013853337216410957,0.009151064770381578,0.14857156398838423
convenience_share,0,du_yoy_l0,-0.0010093177616109041,7.596555706191381e-4,1494,-0.0024982426800244147,4.7960715680260666e-4,0.18396286499265402
convenience_share,1,du_yoy_l1,-0.0012506964264891666,9.507866125484407e-4,1494,-0.0031142381870841104,6.128453341057772e-4,0.18836430069333657
convenience_share,2,du_yoy_l2,-0.0011203802999449604,7.829299382309219e-4,1494,-0.002654922978877567,4.141623789876464e-4,0.15242744835323066
convenience_share,3,du_yoy_l3,1.892168133827124e-4,5.696680247352808e-4,1494,-9.27332515098438e-4,0.0013057661418638628,0.7397739037978615
convenience_share,4,du_yoy_l4,-6.470135155924732e-4,6.963063311647086e-4,1494,-0.002011773924675302,7.177468934903556e-4,0.35278122622249986
convenience_share,5,du_yoy_l5,-0.0010573005812079667,9.428643963517444e-4,1494,-0.002905314798057386,7.907136356414522e-4,0.26213006966398933
convenience_share,6,du_yoy_l6,-0.0012578770688467605,0.0013106871550717595,1494,-0.003826823892787409,0.0013110697550938882,0.3372021494942569
