scenario,compliance_elasticity,snap_unemp_elasticity,total_loss,mean_delta_log,mean_pct_change
baseline,NA,NA,-9892.38492802805,-0.01569171124725487,-1.569171124725487
recession,0,0.015,-10292.48043056147,-0.014674228944062798,-1.46742289440628
recession,0.04,0.015,-11514.552480032324,-0.016435136417350338,-1.6435136417350336
recession,0.08,0.015,-12733.86000918075,-0.01819604389063787,-1.819604389063787
recession,0.12,0.015,-13950.410694045042,-0.019956951363925404,-1.9956951363925404
recession,0.16,0.015,-15164.212186235469,-0.02171785883721294,-2.171785883721294
recession,0,0.025,-10605.933125299905,-0.014674228944062798,-1.46742289440628
recession,0.04,0.025,-11865.222809494982,-0.016435136417350338,-1.6435136417350336
recession,0.08,0.025,-13121.663781189656,-0.01819604389063787,-1.819604389063787
recession,0.12,0.025,-14375.263950192355,-0.019956951363925404,-1.9956951363925404
recession,0.16,0.025,-15626.031201139504,-0.02171785883721294,-2.171785883721294
recession,0,0.033,-10863.554612440092,-0.014674228944062798,-1.46742289440628
recession,0.04,0.033,-12153.43284338067,-0.016435136417350338,-1.6435136417350336
recession,0.08,0.033,-13440.39316568858,-0.01819604389063787,-1.819604389063787
recession,0.12,0.033,-14724.443681304087,-0.019956951363925404,-1.9956951363925404
recession,0.16,0.033,-16005.592466383947,-0.02171785883721294,-2.171785883721294
recession,0,0.045,-11261.767402659501,-0.014674228944062798,-1.46742289440628
recession,0.04,0.045,-12598.927212025392,-0.016435136417350338,-1.6435136417350336
recession,0.08,0.045,-13933.062154347732,-0.01819604389063787,-1.819604389063787
recession,0.12,0.045,-15264.180628550212,-0.019956951363925404,-1.9956951363925404
recession,0.16,0.045,-16592.291006828054,-0.02171785883721294,-2.171785883721294
recession,0,0.06,-11780.122454993678,-0.014674228944062798,-1.46742289440628
recession,0.04,0.06,-13178.82886874067,-0.016435136417350338,-1.6435136417350336
recession,0.08,0.06,-14574.371187287545,-0.01819604389063787,-1.819604389063787
recession,0.12,0.06,-15966.758196142517,-0.019956951363925404,-1.9956951363925404
recession,0.16,0.06,-17355.998652855036,-0.02171785883721294,-2.171785883721294
recovery,0,0.015,-9617.86176381079,-0.0158139575219442,-1.5813957521944197
recovery,0.04,0.015,-8855.110236527613,-0.014548840920188663,-1.4548840920188664
recovery,0.08,0.015,-8091.204946140836,-0.013283724318433127,-1.3283724318433126
recovery,0.12,0.015,-7326.143753136364,-0.012018607716677591,-1.2018607716677592
recovery,0.16,0.015,-6559.924513452277,-0.010753491114922055,-1.0753491114922054
recovery,0,0.025,-9427.415340935124,-0.0158139575219442,-1.5813957521944197
recovery,0.04,0.025,-8679.76730582938,-0.014548840920188663,-1.4548840920188664
recovery,0.08,0.025,-7930.988353660279,-0.013283724318433127,-1.3283724318433126
recovery,0.12,0.025,-7181.076387278849,-0.012018607716677591,-1.2018607716677592
recovery,0.16,0.025,-6430.029305078341,-0.010753491114922055,-1.0753491114922054
recovery,0,0.033,-9277.776994522552,-0.0158139575219442,-1.5813957521944197
recovery,0.04,0.033,-8541.996137389418,-0.014548840920188663,-1.4548840920188664
recovery,0.08,0.033,-7805.102313877371,-0.013283724318433127,-1.3283724318433126
recovery,0.12,0.033,-7067.093460124981,-0.012018607716677591,-1.2018607716677592
recovery,0.16,0.033,-6327.967507883699,-0.010753491114922055,-1.0753491114922054
recovery,0,0.045,-9057.761098073008,-0.0158139575219442,-1.5813957521944197
recovery,0.04,0.045,-8339.428761740512,-0.014548840920188663,-1.4548840920188664
recovery,0.08,0.045,-7620.009852236858,-0.013283724318433127,-1.3283724318433126
recovery,0.12,0.045,-6899.502354643653,-0.012018607716677591,-1.2018607716677592
recovery,0.16,0.045,-6177.904249759206,-0.010753491114922055,-1.0753491114922054
recovery,0,0.06,-8790.063801574419,-0.0158139575219442,-1.5813957521944197
recovery,0.04,0.06,-8092.961394177035,-0.014548840920188663,-1.4548840920188664
recovery,0.08,0.06,-7394.804526698841,-0.013283724318433127,-1.3283724318433126
recovery,0.12,0.06,-6695.591243771321,-0.012018607716677591,-1.2018607716677592
recovery,0.16,0.06,-5995.319585869171,-0.010753491114922055,-1.0753491114922054
