county,year,month,t_dense,G,treated
Alcona,2016,10,1,22,0
Alcona,2016,11,2,22,0
Alcona,2016,12,3,22,0
Alcona,2017,1,4,22,0
Alcona,2017,2,5,22,0
Alcona,2017,3,6,22,0
Alcona,2017,4,7,22,0
Alcona,2017,5,8,22,0
Alcona,2017,6,9,22,0
Alcona,2017,7,10,22,0
Alcona,2017,8,11,22,0
Alcona,2017,9,12,22,0
Alcona,2017,10,13,22,0
Alcona,2017,11,14,22,0
Alcona,2017,12,15,22,0
Alcona,2018,1,16,22,0
Alcona,2018,2,17,22,0
Alcona,2018,3,18,22,0
Alcona,2018,4,19,22,0
Alcona,2018,5,20,22,0
Alcona,2018,6,21,22,0
Alcona,2018,7,22,22,1
Alcona,2018,8,23,22,1
Alcona,2018,9,24,22,1
Alcona,2018,10,25,22,1
Alcona,2018,11,26,22,1
Alcona,2018,12,27,22,1
Alcona,2019,1,28,22,1
Alcona,2019,2,29,22,1
Alcona,2019,3,30,22,1
Alcona,2019,4,31,22,1
Alcona,2019,5,32,22,1
Alcona,2019,6,33,22,1
Alcona,2019,7,34,22,1
Alcona,2019,8,35,22,1
Alcona,2019,9,36,22,1
Alcona,2019,10,37,22,1
Alcona,2019,11,38,22,1
Alcona,2019,12,39,22,1
Alger,2016,10,1,22,0
Alger,2016,11,2,22,0
Alger,2016,12,3,22,0
Alger,2017,1,4,22,0
Alger,2017,2,5,22,0
Alger,2017,3,6,22,0
Alger,2017,4,7,22,0
Alger,2017,5,8,22,0
Alger,2017,6,9,22,0
Alger,2017,7,10,22,0
Alger,2017,8,11,22,0
Alger,2017,9,12,22,0
Alger,2017,10,13,22,0
Alger,2017,11,14,22,0
Alger,2017,12,15,22,0
Alger,2018,1,16,22,0
Alger,2018,2,17,22,0
Alger,2018,3,18,22,0
Alger,2018,4,19,22,0
Alger,2018,5,20,22,0
Alger,2018,6,21,22,0
Alger,2018,7,22,22,1
Alger,2018,8,23,22,1
Alger,2018,9,24,22,1
Alger,2018,10,25,22,1
Alger,2018,11,26,22,1
Alger,2018,12,27,22,1
Alger,2019,1,28,22,1
Alger,2019,2,29,22,1
